epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.837,1.33751,3.08541,2.53376,1.28973,0.51353,0.46275,0.45598,0.29445,0.50211,0.44412,0.41656,0.23526,1.29468,3.06052,1.85483,1.21409,0.0033304,0.0033304,0.0033304
2,339.617,1.39373,3.12095,2.0494,1.30262,0.5044,0.42047,0.41838,0.27063,0.48844,0.39037,0.38394,0.21904,1.37432,3.11348,1.81678,1.25128,0.00659776,0.00659776,0.00659776
3,493.62,1.48914,3.27634,2.01748,1.36134,0.51491,0.35645,0.37949,0.23383,0.50624,0.33015,0.34043,0.17814,1.48231,3.30762,1.81866,1.32442,0.00979912,0.00979912,0.00979912
4,632.586,1.53467,3.34591,1.98754,1.39438,0.50079,0.40375,0.42321,0.26806,0.4907,0.37721,0.37939,0.21137,1.43817,3.32568,1.6801,1.31962,0.009703,0.009703,0.009703
5,778.895,1.47357,3.25887,1.84925,1.36383,0.5576,0.43073,0.4732,0.30882,0.56575,0.38296,0.42339,0.24383,1.37016,3.16311,1.53568,1.26714,0.009604,0.009604,0.009604
6,919.935,1.439,3.20626,1.77642,1.34216,0.62751,0.4616,0.51684,0.33274,0.60298,0.42908,0.4631,0.26786,1.34714,3.07217,1.45996,1.24912,0.009505,0.009505,0.009505
7,1062.5,1.41747,3.17202,1.72079,1.32451,0.64583,0.45507,0.51618,0.33687,0.63648,0.42455,0.46381,0.26498,1.30657,3.07552,1.41645,1.22572,0.009406,0.009406,0.009406
8,1208.27,1.39607,3.13398,1.67736,1.30663,0.60966,0.49511,0.54008,0.35454,0.59466,0.46479,0.48942,0.28262,1.31107,3.0173,1.37717,1.23286,0.009307,0.009307,0.009307
9,1354.65,1.37545,3.10072,1.63694,1.30064,0.65807,0.48758,0.55536,0.36313,0.62646,0.4612,0.50377,0.29057,1.27473,2.95802,1.33533,1.20772,0.009208,0.009208,0.009208
10,1503.36,1.3666,3.09273,1.60775,1.29138,0.67079,0.48214,0.54834,0.36651,0.66374,0.45176,0.50803,0.29502,1.25552,2.95951,1.30788,1.19041,0.009109,0.009109,0.009109
11,1654.02,1.34477,3.05823,1.58374,1.27669,0.63735,0.51229,0.56852,0.38483,0.62445,0.48113,0.51722,0.30516,1.23261,2.90619,1.27767,1.18201,0.00901,0.00901,0.00901
12,1804.3,1.34069,3.0519,1.56252,1.27268,0.6411,0.52463,0.58234,0.39429,0.63704,0.48231,0.53447,0.31725,1.21231,2.89762,1.24804,1.17399,0.008911,0.008911,0.008911
13,1974.53,1.32422,3.02742,1.536,1.26663,0.67301,0.5307,0.58992,0.40256,0.6568,0.49418,0.53739,0.32206,1.20613,2.86442,1.23299,1.1664,0.008812,0.008812,0.008812
14,2140.44,1.31395,3.00277,1.52104,1.26101,0.68906,0.5163,0.60021,0.40982,0.68192,0.47096,0.54561,0.3213,1.19205,2.86546,1.21216,1.16244,0.008713,0.008713,0.008713
15,2296.76,1.31785,3.01805,1.51586,1.25846,0.69842,0.52192,0.60111,0.41436,0.70067,0.49277,0.55921,0.33067,1.17286,2.81096,1.1888,1.14641,0.008614,0.008614,0.008614
16,2453.56,1.30637,3.00457,1.50054,1.25458,0.65925,0.53191,0.60098,0.41197,0.65803,0.49094,0.5529,0.32921,1.17513,2.81613,1.19163,1.14736,0.008515,0.008515,0.008515
