epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.3,1.32217,3.04023,2.61119,1.2499,0.52726,0.41249,0.44195,0.28968,0.53432,0.37794,0.40304,0.23477,1.33286,3.09159,1.93876,1.23676,0.0033304,0.0033304,0.0033304
2,361.512,1.41244,3.12174,2.13639,1.29354,0.5248,0.39636,0.40753,0.25799,0.51571,0.36609,0.37066,0.21149,1.42963,3.20152,1.82788,1.28829,0.00659776,0.00659776,0.00659776
3,524.506,1.52619,3.31078,2.09425,1.37062,0.43532,0.3497,0.34097,0.19906,0.46591,0.31372,0.2971,0.15752,1.57175,3.35592,1.95606,1.39791,0.00979912,0.00979912,0.00979912
4,677.352,1.58909,3.39682,2.04297,1.41761,0.48766,0.38668,0.40189,0.25268,0.51028,0.34687,0.35938,0.2037,1.47501,3.33186,1.71556,1.33024,0.009703,0.009703,0.009703
5,830.597,1.51846,3.30842,1.88868,1.37671,0.50966,0.42355,0.42852,0.27039,0.49885,0.38484,0.38535,0.21768,1.41924,3.23089,1.65129,1.3244,0.009604,0.009604,0.009604
6,980.834,1.4712,3.23364,1.78192,1.34286,0.60942,0.42696,0.48354,0.31265,0.58184,0.40307,0.43671,0.24665,1.38025,3.19767,1.53178,1.27317,0.009505,0.009505,0.009505
7,1131.11,1.44523,3.19173,1.72161,1.32443,0.54991,0.4376,0.45807,0.30163,0.56832,0.40532,0.42387,0.2403,1.3557,3.14427,1.51551,1.25614,0.009406,0.009406,0.009406
8,1280.45,1.42508,3.1546,1.68052,1.3092,0.57897,0.46618,0.50905,0.33923,0.62465,0.40317,0.46453,0.27146,1.31688,3.08078,1.41801,1.2405,0.009307,0.009307,0.009307
9,1432.18,1.40589,3.12849,1.6338,1.2938,0.61439,0.44436,0.50314,0.33532,0.59989,0.42135,0.46046,0.26695,1.30972,3.00264,1.41776,1.23117,0.009208,0.009208,0.009208
10,1580.89,1.38383,3.10442,1.60857,1.28433,0.60718,0.47896,0.52241,0.35013,0.58713,0.43829,0.47738,0.27989,1.28395,3.00111,1.37129,1.22184,0.009109,0.009109,0.009109
11,1729.33,1.3749,3.07566,1.57862,1.26968,0.65069,0.47262,0.53512,0.3615,0.62533,0.44695,0.48411,0.28769,1.26088,2.98842,1.3493,1.20353,0.00901,0.00901,0.00901
12,1881.65,1.3665,3.04964,1.54657,1.2638,0.62647,0.4972,0.55058,0.37361,0.62642,0.45115,0.49757,0.29617,1.24715,2.94456,1.31725,1.19761,0.008911,0.008911,0.008911
13,2033.08,1.34635,3.03443,1.52877,1.264,0.62724,0.49203,0.55212,0.37351,0.6427,0.45767,0.50904,0.30095,1.24421,2.92384,1.32423,1.19387,0.008812,0.008812,0.008812
14,2179.38,1.33472,3.01083,1.50559,1.25122,0.62233,0.50754,0.56131,0.38167,0.61794,0.4636,0.51292,0.3076,1.21419,2.90449,1.28303,1.18307,0.008713,0.008713,0.008713
15,2321.69,1.33066,3.01589,1.4923,1.24608,0.63855,0.5064,0.57256,0.39659,0.66861,0.4602,0.52159,0.31325,1.2183,2.90352,1.26484,1.17772,0.008614,0.008614,0.008614
16,2464.01,1.32644,2.98886,1.47593,1.24399,0.65466,0.49454,0.56272,0.38658,0.65954,0.45205,0.51039,0.30594,1.20365,2.8975,1.26302,1.16697,0.008515,0.008515,0.008515
17,2605.74,1.31624,2.97838,1.46247,1.23434,0.66972,0.51215,0.57714,0.39431,0.65511,0.47281,0.5223,0.31176,1.19974,2.91101,1.24277,1.16434,0.008416,0.008416,0.008416
18,2750.81,1.3104,2.97862,1.45531,1.23785,0.65798,0.52935,0.58477,0.40306,0.64171,0.48958,0.53285,0.31783,1.18025,2.82817,1.2357,1.15156,0.008317,0.008317,0.008317
19,2887.8,1.30148,2.96674,1.43929,1.22904,0.69244,0.50855,0.59264,0.41114,0.6864,0.47737,0.54458,0.32708,1.17419,2.8335,1.19584,1.14923,0.008218,0.008218,0.008218
