epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.622,1.33393,3.01868,2.81765,1.30487,0.52728,0.44632,0.45821,0.30315,0.53197,0.41826,0.4173,0.23564,1.28658,2.99152,1.93653,1.27058,0.00333187,0.00333187,0.00333187
2,445.456,1.41617,3.10302,2.26455,1.35259,0.53154,0.4104,0.43063,0.26911,0.53202,0.37319,0.38604,0.20915,1.36846,3.13435,1.86821,1.3415,0.00659921,0.00659921,0.00659921
3,663.006,1.53395,3.30186,2.16673,1.43869,0.50062,0.36194,0.38459,0.23362,0.46229,0.33246,0.33421,0.1844,1.50082,3.33195,1.931,1.45153,0.00980056,0.00980056,0.00980056
4,877.765,1.56862,3.3442,2.09153,1.46931,0.51802,0.37803,0.40576,0.25539,0.518,0.35107,0.36471,0.20524,1.43546,3.26183,1.73981,1.4022,0.009703,0.009703,0.009703
5,1087.09,1.51765,3.27619,1.94445,1.4383,0.55534,0.42575,0.45466,0.2866,0.51543,0.39851,0.40715,0.22843,1.39797,3.16353,1.66181,1.36876,0.009604,0.009604,0.009604
6,1305.18,1.46709,3.18595,1.84312,1.40088,0.54683,0.45598,0.49177,0.31297,0.56891,0.41192,0.44954,0.25561,1.36588,3.12529,1.54908,1.34048,0.009505,0.009505,0.009505
7,1523.97,1.43781,3.1666,1.77925,1.37977,0.58235,0.45215,0.50498,0.3301,0.6004,0.40818,0.45067,0.26016,1.32309,3.09734,1.49505,1.3186,0.009406,0.009406,0.009406
8,1742.09,1.41947,3.11825,1.73257,1.36404,0.5896,0.48207,0.51664,0.33679,0.56744,0.43771,0.46489,0.27115,1.31308,3.05355,1.46877,1.30775,0.009307,0.009307,0.009307
9,1963.26,1.38962,3.07189,1.67645,1.35166,0.61843,0.46839,0.52979,0.35242,0.61463,0.43612,0.48181,0.27967,1.28966,3.02148,1.41954,1.29747,0.009208,0.009208,0.009208
10,2193.07,1.38251,3.05505,1.65359,1.33893,0.62544,0.49578,0.55576,0.37043,0.61373,0.46179,0.49794,0.29631,1.25456,2.95185,1.35848,1.2639,0.009109,0.009109,0.009109
11,2415.72,1.36894,3.02482,1.62868,1.33206,0.6502,0.50754,0.56559,0.38376,0.67028,0.46963,0.51842,0.30385,1.2458,3.01906,1.33797,1.26885,0.00901,0.00901,0.00901
12,2633.82,1.34986,3.00163,1.59129,1.31964,0.63968,0.52477,0.5777,0.39237,0.62025,0.49135,0.5284,0.31234,1.22268,2.92621,1.31451,1.23894,0.008911,0.008911,0.008911
13,2854.21,1.33282,2.98941,1.56578,1.30679,0.6477,0.51499,0.58444,0.39792,0.61708,0.48863,0.53187,0.31596,1.21629,2.92927,1.28958,1.24019,0.008812,0.008812,0.008812
14,3079.63,1.33114,2.96894,1.54855,1.30122,0.64939,0.52018,0.59097,0.39961,0.68757,0.45612,0.53794,0.31958,1.20031,2.87729,1.27782,1.23152,0.008713,0.008713,0.008713
