epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.715,1.03437,1.52397,1.01063,0.44707,0.72539,0.47005,0.36206,0.84485,1.17888,0.92901,0.003333,0.003333,0.003333
2,1563.09,1.0046,1.25242,0.99474,0.45667,0.74486,0.49463,0.38715,0.81349,1.09352,0.92614,0.00660034,0.00660034,0.00660034
3,2303.12,1.01211,1.23925,1.00476,0.45517,0.74293,0.48799,0.38639,0.80774,1.07487,0.93138,0.00980167,0.00980167,0.00980167
4,3031.59,0.98922,1.21137,0.9981,0.45856,0.72412,0.48104,0.3822,0.81851,1.13546,0.94159,0.009703,0.009703,0.009703
5,3762.86,0.95506,1.17563,0.98483,0.46053,0.71391,0.48253,0.38353,0.82387,1.1919,0.94485,0.009604,0.009604,0.009604
6,4490.4,0.93625,1.15487,0.97667,0.46139,0.70824,0.48186,0.38356,0.82575,1.22757,0.94534,0.009505,0.009505,0.009505
7,5212.31,0.92582,1.14368,0.97265,0.4626,0.70963,0.48383,0.38577,0.82572,1.23929,0.94406,0.009406,0.009406,0.009406
8,5874.32,0.91769,1.13377,0.96936,0.46429,0.7149,0.48804,0.39009,0.81906,1.21954,0.93978,0.009307,0.009307,0.009307
9,6540.38,0.91421,1.12946,0.96771,0.46703,0.72296,0.49451,0.3963,0.81054,1.18222,0.93467,0.009208,0.009208,0.009208
10,7235.98,0.90902,1.12289,0.9658,0.46865,0.73518,0.50075,0.40218,0.79987,1.13758,0.9291,0.009109,0.009109,0.009109
11,7960.09,0.90407,1.12037,0.96407,0.47021,0.74643,0.50763,0.4086,0.79081,1.09738,0.92428,0.00901,0.00901,0.00901
12,8718.56,0.90202,1.11756,0.96373,0.47183,0.75604,0.5137,0.41404,0.7829,1.06621,0.92029,0.008911,0.008911,0.008911
13,9470.66,0.89919,1.11159,0.96217,0.47233,0.76404,0.51907,0.4186,0.77671,1.04364,0.91723,0.008812,0.008812,0.008812
14,10296.2,0.89736,1.1119,0.96124,0.47305,0.77259,0.52295,0.42176,0.77181,1.02842,0.91486,0.008713,0.008713,0.008713
15,11101.4,0.89587,1.10694,0.95987,0.47387,0.77659,0.52641,0.4249,0.76849,1.01694,0.91317,0.008614,0.008614,0.008614
16,11813.2,0.89327,1.10716,0.95973,0.4752,0.77794,0.52915,0.42713,0.76539,1.00916,0.91205,0.008515,0.008515,0.008515
17,12532,0.89216,1.10632,0.95995,0.47567,0.78046,0.53158,0.42908,0.76277,1.00292,0.91107,0.008416,0.008416,0.008416
18,13224,0.89077,1.10175,0.95908,0.47558,0.78518,0.53326,0.43031,0.7611,0.99856,0.91044,0.008317,0.008317,0.008317
19,13913.2,0.88938,1.10137,0.95842,0.47614,0.78717,0.53517,0.43183,0.75949,0.99474,0.90982,0.008218,0.008218,0.008218
20,14616.5,0.88628,1.09959,0.95806,0.47671,0.78952,0.53642,0.4324,0.7582,0.99208,0.90933,0.008119,0.008119,0.008119
21,15340.8,0.88633,1.09595,0.95721,0.47684,0.79158,0.53766,0.43329,0.75728,0.98994,0.90879,0.00802,0.00802,0.00802
