epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,751.692,0.95582,1.51747,1.05468,0.47639,0.74134,0.56009,0.45258,0.73728,1.17481,0.91444,0.00333288,0.00333288,0.00333288
2,1442.41,0.91498,1.14741,1.02334,0.46135,0.78079,0.57053,0.47015,0.7043,1.0828,0.91745,0.00660022,0.00660022,0.00660022
3,2102.74,0.92617,1.12063,1.03748,0.46062,0.78024,0.57422,0.47494,0.69394,1.06326,0.92443,0.00980156,0.00980156,0.00980156
4,2783.64,0.90907,1.09373,1.03104,0.47159,0.79476,0.58672,0.49045,0.67934,1.03283,0.91586,0.009703,0.009703,0.009703
5,3525.5,0.8742,1.05287,1.01423,0.47627,0.80005,0.59473,0.49938,0.66878,1.01755,0.91093,0.009604,0.009604,0.009604
6,4229.02,0.85574,1.02957,1.00592,0.48348,0.80196,0.60102,0.50718,0.66295,1.00892,0.90797,0.009505,0.009505,0.009505
7,4923.39,0.84472,1.01148,1.0004,0.48823,0.80095,0.60505,0.51211,0.65948,1.00413,0.90626,0.009406,0.009406,0.009406
8,5647.31,0.83778,1.0004,0.99669,0.49334,0.79738,0.60816,0.51569,0.65741,1.00237,0.90533,0.009307,0.009307,0.009307
9,6379.74,0.83161,0.99363,0.99298,0.49713,0.7966,0.61109,0.51901,0.65589,1.0004,0.90401,0.009208,0.009208,0.009208
10,7128.62,0.82721,0.98752,0.99033,0.50015,0.79682,0.61274,0.52119,0.65473,0.99962,0.90316,0.009109,0.009109,0.009109
11,7832.63,0.8235,0.98222,0.98912,0.50354,0.79498,0.61498,0.52366,0.65357,0.99952,0.90244,0.00901,0.00901,0.00901
12,8520.47,0.8213,0.97725,0.98693,0.50476,0.79442,0.61658,0.52551,0.65194,0.99839,0.90143,0.008911,0.008911,0.008911
13,9204.51,0.81923,0.97438,0.98487,0.50615,0.79392,0.6176,0.52682,0.65094,0.99702,0.90038,0.008812,0.008812,0.008812
14,9889.19,0.81635,0.96881,0.98365,0.50696,0.79506,0.6191,0.52852,0.64936,0.99419,0.89916,0.008713,0.008713,0.008713
15,10574.6,0.81369,0.96694,0.98291,0.50684,0.79687,0.62053,0.5301,0.64778,0.99123,0.89808,0.008614,0.008614,0.008614
16,11257.9,0.81202,0.96368,0.98118,0.50658,0.79846,0.62213,0.53164,0.64637,0.98766,0.89714,0.008515,0.008515,0.008515
17,11958.3,0.8103,0.96064,0.98174,0.50657,0.79999,0.62343,0.53276,0.64487,0.98374,0.89635,0.008416,0.008416,0.008416
18,12680.2,0.80858,0.96022,0.9799,0.50648,0.80133,0.62447,0.53379,0.6433,0.97941,0.89547,0.008317,0.008317,0.008317
19,13386.8,0.80718,0.95627,0.97932,0.50578,0.80363,0.62553,0.5347,0.64175,0.97611,0.89469,0.008218,0.008218,0.008218
20,14076.1,0.80477,0.95254,0.97891,0.50612,0.80527,0.62656,0.53567,0.64034,0.97182,0.89404,0.008119,0.008119,0.008119
21,14734.5,0.80528,0.95395,0.97841,0.50548,0.80673,0.62742,0.53652,0.63924,0.96828,0.89365,0.00802,0.00802,0.00802
22,15395.4,0.80362,0.95151,0.97811,0.50508,0.80787,0.62813,0.53713,0.63826,0.96519,0.89312,0.007921,0.007921,0.007921
