epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.249,1.03577,1.53474,1.11044,0.55812,0.666,0.65966,0.50258,0.86189,1.0456,0.9725,0.00333205,0.00333205,0.00333205
2,493.114,0.97529,1.07585,1.0448,0.63727,0.66117,0.69771,0.54566,0.84272,0.89348,0.96261,0.0065994,0.0065994,0.0065994
3,727.594,0.99077,1.01413,1.05491,0.6399,0.67302,0.698,0.55011,0.85409,0.86689,0.97589,0.00980074,0.00980074,0.00980074
4,961.526,0.98424,0.97876,1.06029,0.64172,0.70537,0.7232,0.57303,0.82263,0.80713,0.96901,0.009703,0.009703,0.009703
5,1196.58,0.94742,0.9251,1.03608,0.68141,0.69227,0.73907,0.59097,0.79886,0.7746,0.95234,0.009604,0.009604,0.009604
6,1426.76,0.92411,0.89244,1.02471,0.67172,0.71632,0.75006,0.60676,0.79131,0.74189,0.94528,0.009505,0.009505,0.009505
7,1646.21,0.91272,0.87038,1.01652,0.68642,0.72222,0.76356,0.6218,0.77331,0.71433,0.94167,0.009406,0.009406,0.009406
8,1870.97,0.9022,0.85358,1.00973,0.71582,0.70646,0.7728,0.63279,0.76428,0.70028,0.93373,0.009307,0.009307,0.009307
9,2092.41,0.89274,0.83905,1.00579,0.75817,0.67388,0.78135,0.6412,0.75863,0.68462,0.93311,0.009208,0.009208,0.009208
10,2312.56,0.88635,0.82799,1.00058,0.72689,0.71731,0.78914,0.65078,0.7566,0.67799,0.93013,0.009109,0.009109,0.009109
11,2532.16,0.87908,0.81917,0.99826,0.71754,0.72111,0.78523,0.64849,0.75059,0.67,0.92645,0.00901,0.00901,0.00901
12,2760.11,0.87277,0.81176,0.99489,0.69018,0.75175,0.78776,0.65355,0.74586,0.66335,0.92284,0.008911,0.008911,0.008911
13,2997.81,0.86617,0.80248,0.99436,0.7228,0.73616,0.79602,0.65739,0.74083,0.65143,0.92185,0.008812,0.008812,0.008812
14,3227.84,0.86513,0.79621,0.99027,0.74322,0.71669,0.79969,0.66557,0.73957,0.64513,0.9211,0.008713,0.008713,0.008713
15,3464.73,0.85895,0.7911,0.98947,0.72736,0.73673,0.80168,0.66738,0.73357,0.63888,0.91667,0.008614,0.008614,0.008614
16,3718.33,0.85561,0.78348,0.98738,0.74036,0.72593,0.80188,0.66856,0.73289,0.63824,0.91638,0.008515,0.008515,0.008515
17,3979.43,0.85667,0.78197,0.98671,0.73273,0.73885,0.80286,0.66875,0.7319,0.63344,0.9153,0.008416,0.008416,0.008416
18,4239.36,0.85026,0.7757,0.98346,0.75025,0.71775,0.80356,0.67108,0.73009,0.63078,0.91399,0.008317,0.008317,0.008317
19,4494.55,0.84894,0.77213,0.98441,0.71584,0.75505,0.80692,0.67349,0.72806,0.62579,0.91294,0.008218,0.008218,0.008218
20,4743.7,0.84974,0.7732,0.98302,0.72822,0.75136,0.80825,0.67419,0.72741,0.6233,0.91324,0.008119,0.008119,0.008119
21,4980.8,0.84605,0.7658,0.98128,0.7444,0.74059,0.80949,0.67615,0.72686,0.62102,0.91285,0.00802,0.00802,0.00802
22,5217.84,0.84473,0.7638,0.98001,0.74098,0.7399,0.81055,0.67834,0.72559,0.619,0.91178,0.007921,0.007921,0.007921
23,5452.31,0.83983,0.76011,0.97889,0.76388,0.7276,0.81206,0.68019,0.72505,0.61695,0.91145,0.007822,0.007822,0.007822
24,5689.93,0.83975,0.75996,0.97867,0.75879,0.73119,0.81316,0.68009,0.72435,0.61486,0.91099,0.007723,0.007723,0.007723
25,5921.27,0.8376,0.75496,0.97746,0.73263,0.75626,0.81386,0.68074,0.72396,0.61332,0.91066,0.007624,0.007624,0.007624
26,6152.87,0.83742,0.75088,0.9773,0.73152,0.76164,0.8135,0.68083,0.7226,0.6123,0.91011,0.007525,0.007525,0.007525
27,6384.81,0.83611,0.74834,0.97555,0.74431,0.74786,0.81377,0.68097,0.72222,0.61135,0.90968,0.007426,0.007426,0.007426
28,6615.58,0.83432,0.74906,0.97627,0.74175,0.7531,0.81496,0.68167,0.7215,0.61021,0.90925,0.007327,0.007327,0.007327
29,6848.65,0.83162,0.74527,0.97406,0.74688,0.74819,0.81532,0.68209,0.72104,0.60903,0.909,0.007228,0.007228,0.007228
30,7067.17,0.83054,0.74182,0.97479,0.74446,0.75211,0.81567,0.6826,0.72063,0.60821,0.90889,0.007129,0.007129,0.007129
31,7283.44,0.83016,0.74026,0.97246,0.74756,0.7495,0.81627,0.68286,0.72028,0.60715,0.90867,0.00703,0.00703,0.00703
32,7506.06,0.82794,0.73702,0.97262,0.74561,0.75434,0.81712,0.68458,0.7198,0.60614,0.90845,0.006931,0.006931,0.006931
33,7725.85,0.82598,0.73641,0.97161,0.74996,0.74838,0.81755,0.68524,0.71951,0.60514,0.90848,0.006832,0.006832,0.006832
34,7938.16,0.82533,0.73564,0.97345,0.74867,0.75024,0.81805,0.68637,0.71904,0.60384,0.90843,0.006733,0.006733,0.006733
35,8146.17,0.82388,0.73274,0.97106,0.75389,0.74693,0.81864,0.68615,0.71792,0.60333,0.90806,0.006634,0.006634,0.006634
36,8365.06,0.82514,0.73129,0.97067,0.75782,0.74466,0.81928,0.68657,0.7173,0.60204,0.90763,0.006535,0.006535,0.006535
37,8595.02,0.82379,0.7301,0.97018,0.76094,0.74365,0.81925,0.68704,0.7163,0.6013,0.90729,0.006436,0.006436,0.006436
38,8826.1,0.82184,0.72769,0.96735,0.76142,0.74265,0.81981,0.68732,0.71565,0.60071,0.9069,0.006337,0.006337,0.006337
39,9057.7,0.8191,0.72271,0.96802,0.7605,0.74219,0.82007,0.68813,0.71516,0.60022,0.90659,0.006238,0.006238,0.006238
40,9300.15,0.81708,0.72242,0.96799,0.76401,0.73937,0.82031,0.68873,0.71482,0.59935,0.90642,0.006139,0.006139,0.006139
41,9530.92,0.81691,0.71961,0.96876,0.75857,0.74433,0.82058,0.68911,0.71456,0.59823,0.90642,0.00604,0.00604,0.00604
42,9766.08,0.81388,0.71826,0.9685,0.75622,0.74647,0.8212,0.69028,0.7141,0.59777,0.90632,0.005941,0.005941,0.005941
43,10007.4,0.81536,0.71628,0.96752,0.76638,0.74058,0.82144,0.6903,0.71378,0.59725,0.90607,0.005842,0.005842,0.005842
44,10241,0.81553,0.71692,0.96767,0.7665,0.74002,0.82144,0.69056,0.71356,0.59659,0.90607,0.005743,0.005743,0.005743
45,10473.5,0.8096,0.71131,0.96504,0.76884,0.73624,0.82153,0.69065,0.71318,0.59585,0.90615,0.005644,0.005644,0.005644
46,10706.1,0.81161,0.71134,0.96454,0.76971,0.73569,0.82161,0.69086,0.71261,0.59497,0.90587,0.005545,0.005545,0.005545
47,10939.6,0.80995,0.70947,0.96487,0.77087,0.73457,0.8218,0.6913,0.71195,0.59392,0.9057,0.005446,0.005446,0.005446
48,11154.4,0.81344,0.70807,0.96624,0.7692,0.73543,0.82208,0.69147,0.71176,0.5938,0.90578,0.005347,0.005347,0.005347
49,11362.8,0.80981,0.70706,0.96311,0.76448,0.73852,0.82192,0.69133,0.71152,0.59316,0.90544,0.005248,0.005248,0.005248
50,11596.5,0.80706,0.70779,0.96409,0.75855,0.74089,0.82193,0.69176,0.71139,0.59293,0.90543,0.005149,0.005149,0.005149
51,11822.5,0.80865,0.70677,0.96345,0.76287,0.73998,0.8222,0.69176,0.71101,0.59243,0.90544,0.00505,0.00505,0.00505
52,12041,0.80626,0.70108,0.96272,0.75801,0.74608,0.82251,0.69248,0.71073,0.59126,0.90526,0.004951,0.004951,0.004951
53,12236.5,0.8066,0.70118,0.9619,0.75522,0.74818,0.82275,0.69251,0.71015,0.5906,0.90502,0.004852,0.004852,0.004852
54,12430,0.80437,0.70006,0.96009,0.75852,0.74867,0.82339,0.69328,0.70976,0.58953,0.9047,0.004753,0.004753,0.004753
55,12627,0.79997,0.69844,0.96171,0.75863,0.7494,0.82393,0.69401,0.70955,0.58843,0.90466,0.004654,0.004654,0.004654
56,12822.7,0.80056,0.6957,0.96061,0.74942,0.75872,0.82438,0.69431,0.70918,0.58785,0.90437,0.004555,0.004555,0.004555
57,13018.8,0.79937,0.69359,0.95984,0.75273,0.75518,0.82474,0.69513,0.70893,0.58668,0.90407,0.004456,0.004456,0.004456
58,13213.3,0.79729,0.69105,0.958,0.75174,0.75658,0.8249,0.69581,0.70886,0.58609,0.90379,0.004357,0.004357,0.004357
59,13409.1,0.79727,0.69046,0.95907,0.76083,0.75068,0.82564,0.69638,0.70845,0.58538,0.90362,0.004258,0.004258,0.004258
60,13602.6,0.79987,0.68914,0.95928,0.76235,0.75058,0.82622,0.69713,0.708,0.58375,0.90329,0.004159,0.004159,0.004159
61,13797.1,0.79531,0.68914,0.95991,0.76864,0.74712,0.82683,0.69835,0.70751,0.58276,0.90331,0.00406,0.00406,0.00406
62,13990.5,0.79325,0.68464,0.95774,0.77126,0.74711,0.82731,0.69871,0.70726,0.58181,0.9031,0.003961,0.003961,0.003961
63,14184.9,0.7943,0.68427,0.95937,0.77758,0.74157,0.82772,0.69935,0.70696,0.58089,0.90302,0.003862,0.003862,0.003862
64,14379,0.79138,0.68126,0.95835,0.77902,0.74166,0.82829,0.70014,0.70628,0.5796,0.90284,0.003763,0.003763,0.003763
65,14572.4,0.78934,0.67642,0.95439,0.77884,0.73999,0.82875,0.7011,0.7061,0.57894,0.90252,0.003664,0.003664,0.003664
66,14766.1,0.7894,0.67903,0.95628,0.78046,0.73707,0.82945,0.701,0.706,0.57843,0.90233,0.003565,0.003565,0.003565
67,14960.4,0.78785,0.67669,0.95564,0.77849,0.7399,0.82994,0.70185,0.70563,0.57792,0.90224,0.003466,0.003466,0.003466
68,15154.5,0.78536,0.6758,0.95469,0.77712,0.7418,0.83026,0.70238,0.70553,0.57691,0.90211,0.003367,0.003367,0.003367
