epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1739.37,0.77548,1.49315,1.73324,0.96875,0.64794,0.63623,0.65833,0.53329,0.64727,0.63952,0.65841,0.44857,0.601,1.34688,0.91491,0.88896,0.00333309,0.00333309,0.00333309
2,3483.99,0.75803,1.42976,1.07925,0.95054,0.74175,0.65492,0.712,0.57771,0.72773,0.67035,0.70731,0.4891,0.57035,1.3329,0.7944,0.88211,0.00660042,0.00660042,0.00660042
3,5189.33,0.76076,1.43601,1.01433,0.95081,0.71453,0.60933,0.66596,0.53626,0.73816,0.59559,0.6565,0.45234,0.61578,1.43492,1.02414,0.90964,0.00980176,0.00980176,0.00980176
4,7041.65,0.73439,1.41116,0.95372,0.94118,0.39449,0.03118,0.20917,0.17721,0.39925,0.03136,0.21166,0.13804,1.73282,3.21473,5.47043,1.70088,0.009703,0.009703,0.009703
5,8696.37,0.69515,1.36474,0.89112,0.92691,0.07895,0.00166,0.04026,0.03685,0.07895,0.00166,0.04026,0.02742,2.30564,3.6815,6.27428,2.03071,0.009604,0.009604,0.009604
6,10359.3,0.67735,1.3292,0.86114,0.92087,0.40003,0.02468,0.20919,0.17877,0.40003,0.02468,0.20919,0.13244,1.92765,3.28138,5.69158,1.79552,0.009505,0.009505,0.009505
7,11897,0.66634,1.30233,0.84426,0.91764,0.27049,0.26013,0.2618,0.209,0.28312,0.26695,0.27059,0.17304,1.18454,2.53327,3.81297,1.26821,0.009406,0.009406,0.009406
8,13423.3,0.65847,1.2908,0.83096,0.91541,0.85612,0.28356,0.50436,0.40463,0.8624,0.28514,0.49603,0.32731,0.74911,1.91996,2.05494,0.9925,0.009307,0.009307,0.009307
9,15029.2,0.65398,1.28467,0.82091,0.9133,0.77775,0.56071,0.65949,0.53746,0.77438,0.55405,0.6488,0.44018,0.61231,1.58092,1.21836,0.91126,0.009208,0.009208,0.009208
10,16842.1,0.6489,1.27762,0.81247,0.91173,0.76445,0.66044,0.71499,0.59256,0.76497,0.6516,0.70432,0.48661,0.55926,1.43085,0.89235,0.88234,0.009109,0.009109,0.009109
11,18569.4,0.64679,1.27543,0.80897,0.91066,0.76954,0.68657,0.73857,0.61597,0.76505,0.69185,0.73285,0.50663,0.53299,1.36222,0.75513,0.86885,0.00901,0.00901,0.00901
12,20300.5,0.6432,1.26754,0.80286,0.91016,0.77566,0.69157,0.75103,0.62667,0.77745,0.69996,0.74552,0.51814,0.51875,1.32589,0.69126,0.86196,0.008911,0.008911,0.008911
13,21980.6,0.64059,1.26463,0.79774,0.90957,0.78995,0.70083,0.76071,0.63511,0.78811,0.69883,0.75038,0.52527,0.51155,1.30803,0.65837,0.8585,0.008812,0.008812,0.008812
14,23633.1,0.63945,1.26309,0.79359,0.90803,0.77061,0.70328,0.76449,0.64032,0.79542,0.69517,0.76081,0.53214,0.50676,1.29757,0.64082,0.85623,0.008713,0.008713,0.008713
15,25258.9,0.63738,1.25966,0.79164,0.90689,0.75998,0.72249,0.76694,0.64284,0.76414,0.72434,0.75863,0.53246,0.50326,1.29168,0.62919,0.85496,0.008614,0.008614,0.008614
16,27172.7,0.63493,1.25689,0.78906,0.90721,0.75985,0.72761,0.77015,0.64533,0.77722,0.71822,0.76201,0.53359,0.50032,1.28719,0.62168,0.85335,0.008515,0.008515,0.008515
17,29194.9,0.63235,1.25688,0.78673,0.90639,0.75707,0.72629,0.77096,0.64663,0.77895,0.71941,0.76452,0.53588,0.4987,1.28326,0.61894,0.85261,0.008416,0.008416,0.008416
18,31236.1,0.63086,1.25143,0.78244,0.90553,0.75172,0.73281,0.77342,0.64772,0.76491,0.73313,0.77069,0.53795,0.49887,1.27984,0.6148,0.85367,0.008317,0.008317,0.008317
19,33179,0.63146,1.25319,0.78052,0.90596,0.76226,0.73806,0.77615,0.6504,0.76924,0.73528,0.7715,0.54149,0.49748,1.27757,0.61182,0.85353,0.008218,0.008218,0.008218
20,35095.6,0.62791,1.25031,0.77757,0.90522,0.75735,0.73454,0.77701,0.65242,0.78607,0.72796,0.7739,0.54432,0.49552,1.27673,0.60845,0.85286,0.008119,0.008119,0.008119
21,37002.2,0.62725,1.24695,0.77477,0.90425,0.76426,0.74185,0.77926,0.65287,0.78325,0.73106,0.77103,0.54422,0.49464,1.27521,0.60664,0.85244,0.00802,0.00802,0.00802
22,38914.3,0.62648,1.24656,0.77448,0.9039,0.772,0.73864,0.78063,0.65323,0.78141,0.73546,0.77297,0.54456,0.49393,1.27562,0.60422,0.85202,0.007921,0.007921,0.007921
23,40806.4,0.62452,1.24136,0.77069,0.90383,0.76589,0.75072,0.78113,0.65487,0.76766,0.74556,0.77607,0.54532,0.4925,1.2744,0.60174,0.85129,0.007822,0.007822,0.007822
24,42698.1,0.62359,1.23892,0.76963,0.90332,0.76376,0.7496,0.78183,0.65435,0.77,0.74348,0.77963,0.54783,0.49188,1.27549,0.60032,0.85134,0.007723,0.007723,0.007723
25,44593.7,0.62191,1.23684,0.76798,0.90341,0.76287,0.74688,0.78308,0.65625,0.7788,0.73421,0.77888,0.54868,0.49144,1.27089,0.59974,0.85118,0.007624,0.007624,0.007624
26,46580.4,0.62036,1.23832,0.76424,0.90204,0.75053,0.76232,0.7836,0.65792,0.76794,0.75118,0.78062,0.54959,0.49047,1.26902,0.59857,0.85099,0.007525,0.007525,0.007525
27,48529.4,0.61896,1.23471,0.76283,0.90114,0.77157,0.74559,0.78461,0.66024,0.78028,0.74641,0.78186,0.55195,0.49006,1.26805,0.59648,0.85073,0.007426,0.007426,0.007426
28,50508.9,0.6183,1.23375,0.76139,0.90109,0.75683,0.75913,0.78361,0.66048,0.77589,0.75474,0.78252,0.55154,0.48981,1.2663,0.59516,0.85071,0.007327,0.007327,0.007327
29,52238,0.61464,1.22889,0.75635,0.90031,0.77344,0.75516,0.78623,0.66166,0.78504,0.75438,0.78821,0.55167,0.48982,1.26562,0.59359,0.85099,0.007228,0.007228,0.007228
30,53861.2,0.61636,1.2266,0.75662,0.90051,0.76101,0.75728,0.78583,0.66185,0.79445,0.7347,0.78664,0.55285,0.48899,1.26464,0.59113,0.85086,0.007129,0.007129,0.007129
31,55459,0.61368,1.22372,0.75389,0.90012,0.75342,0.7637,0.78538,0.66216,0.75784,0.76804,0.78624,0.55149,0.48838,1.26375,0.58953,0.85034,0.00703,0.00703,0.00703
32,57136.9,0.61332,1.22139,0.75166,0.89929,0.79468,0.73294,0.78543,0.66072,0.80177,0.72929,0.78217,0.55232,0.48848,1.26406,0.58822,0.85028,0.006931,0.006931,0.006931
33,58702.5,0.61214,1.22166,0.75064,0.89937,0.79899,0.72728,0.78556,0.66083,0.80104,0.72722,0.7825,0.55339,0.48686,1.26315,0.58662,0.85012,0.006832,0.006832,0.006832
34,60299.4,0.61067,1.21898,0.74925,0.89864,0.78305,0.74214,0.78674,0.66276,0.79009,0.73659,0.78393,0.55454,0.48583,1.26156,0.58545,0.8498,0.006733,0.006733,0.006733
35,61895.3,0.6099,1.21651,0.74652,0.89809,0.76048,0.75487,0.78714,0.66389,0.76277,0.75983,0.783,0.55482,0.48425,1.25996,0.58408,0.84956,0.006634,0.006634,0.006634
36,63498.9,0.60761,1.21402,0.74341,0.89808,0.7883,0.74228,0.78804,0.66404,0.7778,0.7514,0.7862,0.55498,0.48399,1.25763,0.58315,0.84972,0.006535,0.006535,0.006535
37,65096.9,0.60697,1.21186,0.74306,0.89753,0.76849,0.75866,0.7876,0.66319,0.76854,0.75785,0.78575,0.55571,0.4833,1.25526,0.58258,0.84887,0.006436,0.006436,0.006436
38,66699.8,0.60716,1.21225,0.74322,0.89771,0.77219,0.75554,0.78794,0.66338,0.76713,0.75872,0.78675,0.55435,0.48256,1.25377,0.58214,0.84851,0.006337,0.006337,0.006337
39,68302.5,0.60542,1.21021,0.73964,0.89703,0.77334,0.75832,0.78821,0.66417,0.77563,0.76066,0.78939,0.55541,0.48248,1.25351,0.57959,0.8489,0.006238,0.006238,0.006238
40,69906,0.60483,1.20953,0.73933,0.89614,0.77621,0.76158,0.7888,0.66601,0.78511,0.75774,0.78948,0.55546,0.48166,1.25485,0.57913,0.84843,0.006139,0.006139,0.006139
41,71511.4,0.60207,1.20651,0.73612,0.89582,0.77365,0.76827,0.78898,0.66588,0.7705,0.77114,0.79106,0.55635,0.48149,1.25378,0.57933,0.8484,0.00604,0.00604,0.00604
42,73116.8,0.60112,1.20471,0.73508,0.89594,0.77994,0.76388,0.79084,0.6674,0.78157,0.76739,0.79118,0.55687,0.48115,1.25297,0.57843,0.84814,0.005941,0.005941,0.005941
43,74718.7,0.60022,1.19984,0.73116,0.8955,0.77251,0.775,0.79032,0.66691,0.77768,0.76713,0.79065,0.5556,0.48015,1.25296,0.5778,0.84785,0.005842,0.005842,0.005842
44,76321.7,0.59986,1.20406,0.73193,0.89483,0.7706,0.76728,0.78934,0.66657,0.78024,0.76539,0.7905,0.55573,0.47969,1.25376,0.57756,0.84775,0.005743,0.005743,0.005743
45,77920.1,0.60029,1.20425,0.73013,0.89485,0.77305,0.77204,0.78955,0.66699,0.78077,0.76996,0.79233,0.55692,0.47974,1.25337,0.57526,0.84779,0.005644,0.005644,0.005644
46,79523.6,0.59789,1.19893,0.72911,0.89449,0.78181,0.76223,0.7888,0.66915,0.79286,0.76367,0.79224,0.55862,0.47876,1.25198,0.57441,0.84734,0.005545,0.005545,0.005545
47,81126.9,0.59582,1.19384,0.7254,0.89338,0.79581,0.75846,0.79094,0.66948,0.80303,0.7588,0.79255,0.56038,0.4785,1.25093,0.57371,0.84682,0.005446,0.005446,0.005446
48,82729.1,0.59388,1.19517,0.7219,0.8929,0.80026,0.75631,0.79193,0.66923,0.809,0.75463,0.79191,0.55874,0.47751,1.24813,0.57231,0.84663,0.005347,0.005347,0.005347
49,84332.5,0.59272,1.19335,0.72255,0.89247,0.80599,0.7509,0.79207,0.67152,0.81452,0.75416,0.79347,0.56159,0.47659,1.24625,0.57034,0.84602,0.005248,0.005248,0.005248
50,85928.1,0.59229,1.18997,0.71957,0.89248,0.77694,0.77056,0.79222,0.67008,0.80399,0.76148,0.79375,0.56091,0.47631,1.24607,0.57023,0.84578,0.005149,0.005149,0.005149
51,87565.5,0.59213,1.19109,0.71847,0.89228,0.77511,0.77335,0.79095,0.66926,0.79254,0.76912,0.79256,0.55986,0.47556,1.24505,0.56971,0.84526,0.00505,0.00505,0.00505
52,89176.2,0.59003,1.18946,0.71545,0.89193,0.77287,0.77296,0.79319,0.67037,0.81153,0.75506,0.79393,0.56063,0.4748,1.24566,0.56884,0.84478,0.004951,0.004951,0.004951
53,90797.7,0.5888,1.18659,0.71362,0.89111,0.78497,0.76286,0.79259,0.66973,0.79816,0.76267,0.79297,0.56102,0.47353,1.24249,0.5674,0.84418,0.004852,0.004852,0.004852
54,92500.1,0.58545,1.18256,0.70985,0.89113,0.78558,0.7587,0.79163,0.66976,0.80159,0.75701,0.79201,0.5614,0.47256,1.24221,0.56657,0.84361,0.004753,0.004753,0.004753
55,94433.1,0.587,1.18459,0.71137,0.89071,0.78324,0.75376,0.79118,0.67045,0.81528,0.74503,0.79267,0.56038,0.47198,1.24393,0.56557,0.84361,0.004654,0.004654,0.004654
