epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0244,1.30808,1.95276,1.19523,0.96004,0.89748,0.93877,0.57768,1.19527,1.23079,1.07699,0.00332579,0.00332579,0.00332579
2,91.9903,1.25898,1.09247,1.11771,0.95967,0.86196,0.9238,0.58623,1.23854,0.90298,1.14369,0.0065932,0.0065932,0.0065932
3,133.336,1.29701,0.94906,1.16369,0.92577,0.8012,0.87519,0.48425,1.4667,1.03041,1.34736,0.00979461,0.00979461,0.00979461
4,174.763,1.31155,0.89156,1.19836,0.939,0.87882,0.92511,0.59551,1.23747,0.81566,1.19867,0.009703,0.009703,0.009703
5,215.763,1.29091,0.82649,1.18659,0.95241,0.88292,0.92815,0.60729,1.21864,0.69718,1.18626,0.009604,0.009604,0.009604
6,256.704,1.26646,0.7817,1.19326,0.96741,0.89658,0.9414,0.62611,1.18753,0.64582,1.16656,0.009505,0.009505,0.009505
7,297.825,1.24588,0.74799,1.17332,0.95103,0.87699,0.92773,0.61158,1.21005,0.72788,1.19231,0.009406,0.009406,0.009406
8,339.084,1.23462,0.73566,1.16491,0.94425,0.90797,0.93723,0.62448,1.18139,0.66769,1.14125,0.009307,0.009307,0.009307
9,378.67,1.21931,0.70854,1.15292,0.95599,0.90205,0.94427,0.63737,1.16568,0.6171,1.14241,0.009208,0.009208,0.009208
10,419.851,1.21171,0.69387,1.15185,0.97334,0.91526,0.95679,0.64384,1.17043,0.59096,1.14699,0.009109,0.009109,0.009109
11,461.122,1.20357,0.6795,1.14932,0.96211,0.91392,0.9486,0.63438,1.16533,0.60989,1.18198,0.00901,0.00901,0.00901
12,505.074,1.20402,0.67271,1.15395,0.97327,0.91218,0.95394,0.64158,1.16566,0.56936,1.13556,0.008911,0.008911,0.008911
13,549.248,1.18796,0.66591,1.13489,0.97729,0.91754,0.95714,0.64667,1.145,0.56408,1.11459,0.008812,0.008812,0.008812
14,593.263,1.18475,0.65311,1.13899,0.97138,0.918,0.95344,0.64636,1.15659,0.5592,1.13494,0.008713,0.008713,0.008713
15,637.334,1.18537,0.64923,1.14351,0.97273,0.92392,0.95533,0.65875,1.1349,0.53874,1.11022,0.008614,0.008614,0.008614
16,680.859,1.17561,0.62957,1.13411,0.97201,0.92346,0.95845,0.65869,1.13752,0.53573,1.11208,0.008515,0.008515,0.008515
17,724.524,1.17601,0.63246,1.13227,0.97712,0.92392,0.96171,0.65887,1.14252,0.54114,1.13436,0.008416,0.008416,0.008416
18,768.554,1.16589,0.62346,1.12453,0.96975,0.92437,0.95756,0.6635,1.12686,0.53247,1.12107,0.008317,0.008317,0.008317
19,812.086,1.16547,0.62312,1.12622,0.97371,0.92814,0.96352,0.67172,1.12429,0.52644,1.10933,0.008218,0.008218,0.008218
20,855.522,1.16394,0.61892,1.12482,0.97511,0.93257,0.96282,0.66788,1.12017,0.52408,1.09806,0.008119,0.008119,0.008119
21,899.311,1.16119,0.61428,1.12371,0.97658,0.93084,0.96556,0.67025,1.12318,0.50627,1.10646,0.00802,0.00802,0.00802
22,943.048,1.16556,0.61795,1.12959,0.96873,0.93149,0.96158,0.66447,1.13393,0.51427,1.11262,0.007921,0.007921,0.007921
23,986.48,1.14666,0.60186,1.1134,0.98126,0.93075,0.96132,0.67044,1.11613,0.50782,1.10579,0.007822,0.007822,0.007822
24,1029.85,1.14386,0.59828,1.11208,0.97623,0.93075,0.96734,0.67574,1.10762,0.50321,1.11003,0.007723,0.007723,0.007723
25,1073.69,1.14214,0.59275,1.11283,0.98097,0.93622,0.96726,0.67716,1.10694,0.48861,1.09408,0.007624,0.007624,0.007624
26,1116.58,1.13865,0.58616,1.09874,0.9806,0.93622,0.96653,0.674,1.11818,0.48897,1.08725,0.007525,0.007525,0.007525
27,1159.55,1.13673,0.58726,1.10325,0.97577,0.93576,0.96617,0.6792,1.10169,0.48232,1.09088,0.007426,0.007426,0.007426
28,1203.31,1.13811,0.58922,1.10806,0.97993,0.93423,0.96499,0.6703,1.10379,0.49596,1.08791,0.007327,0.007327,0.007327
29,1246.1,1.13197,0.57795,1.09897,0.97441,0.93485,0.96923,0.68436,1.09345,0.48691,1.0808,0.007228,0.007228,0.007228
30,1289.85,1.11559,0.56839,1.09691,0.97652,0.9385,0.97059,0.68351,1.09165,0.47584,1.08888,0.007129,0.007129,0.007129
31,1333.49,1.12497,0.57459,1.10263,0.97946,0.9342,0.96412,0.67842,1.1017,0.47813,1.08546,0.00703,0.00703,0.00703
32,1377.1,1.12714,0.57443,1.1,0.97813,0.93715,0.96723,0.67264,1.10109,0.48602,1.08998,0.006931,0.006931,0.006931
33,1420.4,1.10374,0.55802,1.08668,0.98174,0.9303,0.96957,0.68627,1.09979,0.45802,1.08621,0.006832,0.006832,0.006832
34,1464.54,1.12158,0.55687,1.10744,0.98324,0.93538,0.97059,0.68876,1.08475,0.45151,1.08472,0.006733,0.006733,0.006733
35,1507.69,1.12361,0.56334,1.10182,0.97772,0.94169,0.96895,0.68723,1.0759,0.45572,1.08028,0.006634,0.006634,0.006634
36,1551.53,1.10358,0.55039,1.09566,0.98753,0.93838,0.97325,0.6885,1.08236,0.45599,1.07845,0.006535,0.006535,0.006535
37,1594.68,1.11781,0.55406,1.09283,0.98628,0.94214,0.97299,0.68896,1.08447,0.4456,1.07628,0.006436,0.006436,0.006436
38,1638.09,1.11647,0.5536,1.0915,0.98431,0.94328,0.97199,0.69215,1.07788,0.44182,1.07028,0.006337,0.006337,0.006337
39,1681.15,1.10456,0.5489,1.08563,0.98707,0.93907,0.97244,0.6894,1.07724,0.45453,1.07817,0.006238,0.006238,0.006238
40,1724.95,1.1022,0.54543,1.09245,0.99179,0.93581,0.97118,0.69773,1.08149,0.44592,1.07471,0.006139,0.006139,0.006139
41,1768.08,1.0935,0.53324,1.09066,0.98343,0.94123,0.97271,0.69986,1.07105,0.44214,1.07988,0.00604,0.00604,0.00604
42,1810.78,1.10679,0.54188,1.08909,0.98294,0.94477,0.97294,0.69751,1.06871,0.43972,1.07315,0.005941,0.005941,0.005941
43,1853.62,1.10086,0.53929,1.08686,0.98619,0.94366,0.97283,0.69606,1.08022,0.43771,1.08503,0.005842,0.005842,0.005842
44,1896.73,1.09798,0.53176,1.0786,0.98361,0.94442,0.97297,0.69656,1.07078,0.42787,1.07255,0.005743,0.005743,0.005743
45,1940.3,1.10426,0.54086,1.08977,0.98615,0.94047,0.97449,0.69904,1.06687,0.43,1.07375,0.005644,0.005644,0.005644
46,1984.19,1.08944,0.52805,1.08425,0.98904,0.94487,0.97457,0.70138,1.06981,0.42768,1.07613,0.005545,0.005545,0.005545
47,2027.55,1.08363,0.52736,1.07915,0.98969,0.9426,0.97565,0.69842,1.07003,0.4258,1.06908,0.005446,0.005446,0.005446
48,2069.83,1.08331,0.51955,1.08471,0.99046,0.94611,0.97642,0.70313,1.06356,0.41821,1.07932,0.005347,0.005347,0.005347
49,2111.82,1.08742,0.52442,1.08207,0.9881,0.94579,0.97564,0.7026,1.06019,0.42126,1.06099,0.005248,0.005248,0.005248
50,2154.04,1.08164,0.52025,1.07928,0.98714,0.94455,0.97474,0.69824,1.06699,0.42473,1.0605,0.005149,0.005149,0.005149
51,2195.69,1.08533,0.51816,1.07678,0.98544,0.94214,0.97298,0.70141,1.0611,0.42249,1.06755,0.00505,0.00505,0.00505
52,2237.3,1.07153,0.51949,1.07031,0.98713,0.94852,0.975,0.69899,1.07159,0.42376,1.06108,0.004951,0.004951,0.004951
53,2279.17,1.07683,0.51444,1.07324,0.98594,0.94989,0.97626,0.70462,1.05231,0.41116,1.06214,0.004852,0.004852,0.004852
54,2320.68,1.07479,0.51226,1.07203,0.98716,0.94546,0.97624,0.70398,1.06195,0.41635,1.06078,0.004753,0.004753,0.004753
55,2362.37,1.07096,0.50965,1.07533,0.9886,0.94989,0.9774,0.7066,1.05568,0.40663,1.05784,0.004654,0.004654,0.004654
56,2401.25,1.06616,0.50632,1.0755,0.98582,0.9504,0.97607,0.70549,1.06094,0.40548,1.05934,0.004555,0.004555,0.004555
57,2439.8,1.06712,0.50746,1.06692,0.9868,0.94943,0.97688,0.70497,1.05795,0.40201,1.05943,0.004456,0.004456,0.004456
58,2478.03,1.06998,0.50618,1.05916,0.99001,0.9484,0.97679,0.70911,1.05393,0.39903,1.05478,0.004357,0.004357,0.004357
59,2516.41,1.06652,0.50631,1.06824,0.98394,0.94902,0.97615,0.7074,1.05669,0.40058,1.05406,0.004258,0.004258,0.004258
60,2554.6,1.06489,0.50163,1.05914,0.98334,0.94897,0.97486,0.70769,1.05307,0.39728,1.05108,0.004159,0.004159,0.004159
61,2592.8,1.06412,0.50085,1.06399,0.98716,0.94535,0.97612,0.70985,1.05076,0.40113,1.05343,0.00406,0.00406,0.00406
62,2634.84,1.06057,0.49639,1.06639,0.98067,0.95444,0.97597,0.71143,1.04718,0.39652,1.04805,0.003961,0.003961,0.003961
63,2677.06,1.06124,0.50013,1.06742,0.98716,0.95171,0.97678,0.70965,1.0527,0.39981,1.05839,0.003862,0.003862,0.003862
64,2718.95,1.05278,0.4908,1.0587,0.9909,0.9508,0.97722,0.70932,1.05268,0.39617,1.04954,0.003763,0.003763,0.003763
65,2761.47,1.05752,0.48534,1.066,0.98817,0.95121,0.97675,0.70964,1.04777,0.3902,1.04813,0.003664,0.003664,0.003664
66,2803.98,1.04791,0.48286,1.06099,0.98711,0.95216,0.97715,0.71231,1.04989,0.38875,1.04871,0.003565,0.003565,0.003565
67,2845.68,1.04049,0.49265,1.05767,0.99045,0.94806,0.97767,0.71116,1.04845,0.39004,1.05191,0.003466,0.003466,0.003466
68,2887.64,1.05159,0.48353,1.04985,0.98523,0.94852,0.97708,0.71173,1.04559,0.3912,1.04733,0.003367,0.003367,0.003367
69,2929.66,1.03966,0.47645,1.04854,0.98701,0.95125,0.97657,0.71065,1.0455,0.39083,1.04705,0.003268,0.003268,0.003268
70,2971.8,1.04337,0.47933,1.05743,0.98314,0.95647,0.97634,0.7125,1.04468,0.38997,1.04787,0.003169,0.003169,0.003169
71,3013.99,1.04577,0.47778,1.05379,0.98581,0.94967,0.97603,0.71321,1.04185,0.38465,1.04533,0.00307,0.00307,0.00307
72,3056.12,1.0364,0.46831,1.05214,0.98987,0.94761,0.97556,0.71324,1.04204,0.38299,1.04259,0.002971,0.002971,0.002971
73,3098.25,1.03575,0.47055,1.05442,0.98959,0.95253,0.97619,0.71281,1.04795,0.38277,1.04698,0.002872,0.002872,0.002872
74,3140.55,1.0282,0.46416,1.05246,0.98716,0.95353,0.97706,0.7134,1.04564,0.3801,1.04452,0.002773,0.002773,0.002773
75,3182.24,1.03123,0.463,1.04932,0.98957,0.95113,0.97749,0.7161,1.04294,0.37861,1.04295,0.002674,0.002674,0.002674
76,3225.05,1.0273,0.46577,1.05002,0.98541,0.9541,0.97718,0.71589,1.04308,0.37756,1.04052,0.002575,0.002575,0.002575
77,3267.56,1.02341,0.46052,1.04896,0.98862,0.9499,0.97722,0.7157,1.04107,0.37823,1.04367,0.002476,0.002476,0.002476
78,3309.7,1.03109,0.46007,1.04515,0.98656,0.95353,0.97749,0.71458,1.03934,0.37648,1.04281,0.002377,0.002377,0.002377
