장소,위도,경도
출발지점,37.484081,127.031534
순찰지점 1,37.48547,127.031617
순찰지점 2,37.49126,127.02974
순찰지점 3,37.490501,127.02305
순찰지점 4,37.497806,127.026904
순찰지점 5,37.505745,127.02383
순찰지점 6,37.504547,127.018267
순찰지점 7,37.511688,127.017332
순찰지점 8,37.516204,127.019343
순찰지점 9,37.51344,127.010134
순찰지점 10,37.508881,127.011355
순찰지점 11,37.506041,127.004347
순찰지점 12,37.503165,126.995201
순찰지점 13,37.496075,126.998863
순찰지점 14,37.48985,127.006766
순찰지점 15,37.494049,127.010645
순찰지점 16,37.499709,127.011671
순찰지점 17,37.50429,127.00998
순찰지점 18,37.498747,127.017526
순찰지점 19,37.493898,127.017903
순찰지점 20,37.490096,127.013637
순찰지점 21,37.485813,127.015791
순찰지점 22,37.485769,127.021457
복귀지점,37.484081,127.031534
